Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-login-book,Chrome 115.0.0.0,,,2023-08-02 17:16:21,2023-08-02 17:17:00,38.809s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC-01 login,Chrome 115.0.0.0,,smoke,2023-08-02 17:16:21,2023-08-02 17:16:41,19.944s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-02 17:16:21,2023-08-02 17:16:24,2.949s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-08-02 17:16:24,2023-08-02 17:16:30,5.956s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-02 17:16:30,2023-08-02 17:16:30,0.179s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/BtnMakeAppointment""))",Chrome 115.0.0.0,,,2023-08-02 17:16:30,2023-08-02 17:16:33,2.795s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/txtUsername""), NAME)",Chrome 115.0.0.0,,,2023-08-02 17:16:33,2023-08-02 17:16:36,2.845s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/txtPassword""), PASS)",Chrome 115.0.0.0,,,2023-08-02 17:16:36,2023-08-02 17:16:39,2.558s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnLogin""))",Chrome 115.0.0.0,,,2023-08-02 17:16:39,2023-08-02 17:16:41,2.353s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC- 03 book,Chrome 115.0.0.0,,,2023-08-02 17:16:41,2023-08-02 17:17:00,18.589s,PASSED
"selectOptionByIndex(findTestObject(""Page_CURA Healthcare Service/cbCURAHealthcareCenter""), 0)",Chrome 115.0.0.0,,,2023-08-02 17:16:41,2023-08-02 17:16:43,1.233s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/cbApply for hospital readmission""))",Chrome 115.0.0.0,,,2023-08-02 17:16:43,2023-08-02 17:16:44,1.531s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/cbMedicaid_programs""))",Chrome 115.0.0.0,,,2023-08-02 17:16:44,2023-08-02 17:16:46,1.485s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/txtVisit Date""), ""07/07/2023"")",Chrome 115.0.0.0,,,2023-08-02 17:16:46,2023-08-02 17:16:49,3.048s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/text_Comment""), comment)",Chrome 115.0.0.0,,,2023-08-02 17:16:49,2023-08-02 17:16:52,3.036s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnBook Appointment""))",Chrome 115.0.0.0,,,2023-08-02 17:16:52,2023-08-02 17:16:56,4.565s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnGo to Homepage""))",Chrome 115.0.0.0,,,2023-08-02 17:16:56,2023-08-02 17:17:00,3.451s,PASSED
