Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS- Local Variable,,,,2023-08-03 22:33:44,2023-08-03 22:33:49,4.764s,FAILED
,,,,,,,
Test Cases/For Variable/TC- Local Variable,,,,2023-08-03 22:33:45,2023-08-03 22:33:47,2.221s,FAILED
"openBrowser("""")",,,,2023-08-03 22:33:45,2023-08-03 22:33:47,2.014s,FAILED
,,,,,,,
Test Cases/For Variable/TC- Local Variable,,,,2023-08-03 22:33:47,2023-08-03 22:33:48,1.128s,FAILED
"openBrowser("""")",,,,2023-08-03 22:33:47,2023-08-03 22:33:48,1.104s,FAILED
,,,,,,,
Test Cases/For Variable/TC- Local Variable,,,,2023-08-03 22:33:48,2023-08-03 22:33:49,1.155s,FAILED
"openBrowser("""")",,,,2023-08-03 22:33:48,2023-08-03 22:33:49,1.146s,FAILED
